IDENTIFICADOR_UNICO_FICHA;MODALIDAD_FORMACION;NIVEL_FORMACION;NOMBRE_JORNADA;CODIGO_SECTOR_PROGRAMA;CODIGO_PROGRAMA;DURACION_PROGRAMA;CODIGO_MUNICIPIO_CURSO;TOTAL_APRENDICES;Menores y mayores a 15 activos
1733770;1;5;1;4;228185;1900;622;29;1
1713308;1;5;1;2;842404;2200;1;12;0
1717023;1;5;1;4;228185;1900;75;25;1
1679937;1;6;2;2;513601;3380;1;19;1
1693364;1;5;1;4;228120;1940;1;29;1
1693497;1;5;1;6;122121;1940;318;26;1
1693527;1;5;1;6;122121;1940;318;23;1
1691815;1;5;1;4;839312;1940;1;35;1
1714807;1;5;1;2;842404;2200;1;20;1
1719769;1;5;1;2;832221;2200;513;31;1
1719795;1;5;1;6;122121;1940;1;20;1
1719797;1;5;1;2;832221;2200;513;35;1
1762205;1;5;1;2;834401;2200;1;17;1
1713796;1;5;1;4;228185;1900;355;29;1
1819055;1;1;2;4;86120350;50;1;20;1
1815202;1;1;2;2;84710024;40;455;24;1
1708863;1;5;1;2;831104;2200;1;13;0
1701408;1;5;1;2;831104;2200;1;16;1
1717670;1;5;1;2;226234;1945;256;24;1
1700332;1;5;1;4;228120;1940;532;35;1
1700294;1;5;1;4;228120;1940;532;17;1
1565758;1;5;2;6;861121;1400;1;30;1
1697569;1;5;1;2;832221;2200;256;25;1
1728817;1;5;1;4;228120;1940;532;27;1
1713717;1;5;1;6;122121;1940;1;27;1
1711898;1;5;1;4;228185;1900;473;23;1
1717966;1;5;1;2;832221;2200;573;9;0
1713420;1;5;1;2;226234;1945;355;25;1
1688238;1;5;1;4;228185;1900;780;21;1
1688099;1;5;1;4;228185;1900;780;24;1
1733681;1;5;1;2;832221;2200;1;22;1
1717699;1;5;1;2;832221;2200;1;15;0
1733651;1;5;1;2;832221;2200;1;21;1
1695946;1;5;1;4;228120;1940;450;32;1
1745696;1;1;2;2;52441147;80;256;20;1
1733734;1;5;1;2;226234;1945;1;28;1
1695925;1;5;1;4;228120;1940;450;24;0
1692217;3;5;1;1;761106;1000;110;31;1
1723318;1;5;1;4;228120;1940;290;32;1
1713551;1;5;1;2;226234;1945;355;26;1
1708564;1;5;1;6;838105;1900;1;16;1
1701364;1;5;1;4;228120;1940;1;15;0
1717984;1;5;1;4;228120;1940;1;22;1
1717988;1;5;1;4;228120;1940;1;18;1
1715010;1;5;1;4;228185;1900;693;19;1
1711348;1;5;1;4;228185;1900;548;34;1
1711776;1;5;1;4;228185;1900;318;20;0
1874482;1;5;1;4;228185;1900;1;24;1
1700766;1;5;1;4;228185;1900;548;28;1
1713804;1;5;1;4;228185;1900;455;22;0
1717797;1;5;1;2;832221;2200;573;15;1
1694564;1;5;1;4;228185;1900;807;38;1
1851796;1;1;2;2;83610191;80;318;18;1
1745695;1;1;2;6;52440443;60;1;15;1
1737973;1;1;2;2;52441147;80;256;25;1
1806429;1;1;2;2;52441147;80;1;23;1
1741388;1;1;2;6;83310004;120;807;19;0
1845315;1;1;2;6;13210021;40;1;24;0
1733771;1;5;1;4;228185;1900;622;26;1
1802741;1;1;2;3;12210459;42;1;21;1
1710759;1;5;1;6;835106;2380;1;14;0
1760022;1;5;1;6;122121;1940;1;22;1
1852927;1;5;1;4;228185;1900;1;15;1
1868057;1;1;2;2;22810549;32;1;32;1
1721629;1;5;1;2;832221;2200;1;16;0
1719789;1;5;1;2;832221;2200;548;31;1
1690971;1;5;1;4;228185;1900;318;32;1
1719792;1;5;1;4;228185;1900;1;22;1
1832141;4;1;2;2;83210103;308;137;43;1
1845190;1;1;2;2;52440953;70;548;21;1
1717378;1;5;1;4;228185;1900;824;30;1
1851415;1;1;2;6;83510009;60;743;20;1
1739236;1;1;2;4;13120331;70;573;30;1
1711384;1;5;1;4;228185;1900;22;29;1
1745693;1;1;2;2;83230037;40;517;20;0
1743796;1;5;1;4;228185;1900;50;12;0
1745694;1;1;2;2;22620414;40;1;14;0
1716309;1;5;1;4;228185;1900;355;18;1
1814007;1;1;2;2;86110369;64;548;19;1
1854302;1;1;2;1;22620429;40;1;23;1
1712115;1;5;1;4;228185;1900;517;29;1
1700261;1;5;1;2;935240;1890;807;13;0
1712259;1;5;1;6;122121;1940;1;31;1
1696698;1;5;1;4;228185;1900;1;29;1
1719152;1;5;1;4;228185;1900;110;16;1
1696748;1;5;1;4;228185;1900;1;31;1
1717556;1;5;1;4;228185;1900;585;18;0
1845621;1;1;2;6;13210021;40;1;24;1
1710798;1;5;1;6;941201;1430;1;20;0
1691739;1;5;1;4;228185;1900;1;25;1
1578460;1;6;2;4;524109;3640;1;30;1
1736784;1;1;2;2;52450179;40;100;24;1
1696786;1;5;1;4;228185;1900;517;34;1
1712174;1;5;1;4;228185;1900;517;33;1
1716731;1;5;1;4;228185;1900;1;30;1
1695902;1;5;1;4;228185;1900;1;24;1
1739584;1;1;2;6;13530036;50;845;28;1
1813469;1;1;2;3;52441938;60;1;24;0
1845609;1;1;2;4;52520045;40;1;13;0
1798123;1;1;2;2;83310014;60;622;30;1
1735964;1;5;1;4;228185;1900;548;29;1
1741390;1;1;2;2;22620414;40;1;20;1
1711365;1;5;1;4;228185;1900;1;25;1
1747168;1;1;2;6;84110003;40;698;30;1
1819056;1;1;2;4;11120008;40;1;28;1
1696778;1;5;1;4;228185;1900;256;30;1
1851674;1;1;2;2;21340010;30;1;19;1
1742398;4;1;2;2;52410387;280;392;32;1
1693274;1;5;1;4;228185;1900;318;29;1
1876553;1;1;2;4;84220129;80;1;21;1
1719794;1;5;1;4;228185;1900;1;16;1
1878247;1;1;2;2;52442073;60;1;9;0
1799494;1;1;2;2;86120197;60;573;25;0
1714893;1;5;1;4;228185;1900;573;17;1
1719169;1;5;1;2;935240;1890;807;14;0
1857332;1;1;2;2;93510120;90;1;19;0
1701281;1;5;1;4;228185;1900;548;26;1
1694519;1;5;1;4;228185;1900;256;25;1
1526867;1;5;2;2;226234;1945;1;26;1
1701217;1;5;1;4;228185;1900;548;32;1
1834852;1;1;2;2;52410374;40;1;10;0
1819408;1;1;2;1;66330006;60;698;17;1
1806566;1;1;2;5;22620440;20;1;17;1
1838360;1;1;2;4;84220129;80;1;24;1
1843434;1;1;2;4;13120331;70;1;20;0
1858997;1;1;2;2;83240089;40;1;13;0
1843432;1;1;2;2;83230037;40;455;26;1
1802689;1;1;2;4;22810782;60;1;14;0
1800321;1;1;2;4;51350015;60;807;13;0
1736871;1;1;2;1;22620429;40;513;40;1
1838836;1;1;2;2;83610273;80;1;20;1
1844283;1;1;2;2;22510048;40;1;21;0
1817165;1;1;2;2;52441052;60;1;17;0
1534084;1;5;2;4;228185;1900;450;37;1
1845597;1;1;2;5;22620444;80;1;4;0
1838464;1;1;2;2;22620414;40;1;17;1
1826626;1;1;2;2;22620414;40;698;12;0
1754067;1;1;2;4;13120241;40;100;17;0
1754074;1;1;2;3;52441343;40;807;14;0
1857563;4;1;2;3;2000003;320;532;29;1
1887769;1;1;2;4;63410151;40;318;17;1
1801930;1;1;2;3;83830197;70;22;39;1
1794256;1;1;2;6;66330107;100;318;16;1
1897521;1;1;2;6;84510081;80;1;27;1
